Date,Ticker,Signal
2025-04-27,AAPL,HOLD
2025-04-27,MSFT,HOLD
2025-04-27,AMZN,HOLD
2025-04-27,META,HOLD
2025-04-27,GOOGL,HOLD
2025-04-27,TSLA,BUY
2025-04-27,NVDA,HOLD
2025-04-27,JPM,HOLD
2025-04-27,BAC,HOLD
2025-04-27,WFC,HOLD
2025-04-27,V,HOLD
2025-04-27,MA,HOLD
2025-04-27,UNH,BUY
2025-04-27,PFE,HOLD
2025-04-27,MRK,HOLD
2025-04-27,XOM,HOLD
2025-04-27,CVX,HOLD
2025-04-27,COP,HOLD
2025-04-27,HD,HOLD
2025-04-27,COST,HOLD
2025-04-27,DIS,HOLD
2025-04-27,NFLX,HOLD
2025-04-27,MCD,HOLD
2025-04-27,KO,HOLD
2025-04-27,PEP,HOLD
2025-04-27,NKE,HOLD
2025-04-27,ORCL,HOLD
2025-04-27,INTC,BUY
2025-04-27,CSCO,HOLD
2025-04-27,ABT,HOLD
2025-04-27,AAPL,HOLD
2025-04-27,MSFT,HOLD
2025-04-27,AMZN,HOLD
2025-04-27,META,HOLD
2025-04-27,GOOGL,HOLD
2025-04-27,TSLA,BUY
2025-04-27,NVDA,HOLD
2025-04-27,JPM,HOLD
2025-04-27,BAC,HOLD
2025-04-27,WFC,HOLD
2025-04-27,V,HOLD
2025-04-27,MA,HOLD
2025-04-27,UNH,BUY
2025-04-27,PFE,HOLD
2025-04-27,MRK,HOLD
2025-04-27,XOM,HOLD
2025-04-27,CVX,HOLD
2025-04-27,COP,HOLD
2025-04-27,HD,HOLD
2025-04-27,COST,HOLD
2025-04-27,DIS,HOLD
2025-04-27,NFLX,HOLD
2025-04-27,MCD,HOLD
2025-04-27,KO,HOLD
2025-04-27,PEP,HOLD
2025-04-27,NKE,HOLD
2025-04-27,ORCL,HOLD
2025-04-27,INTC,BUY
2025-04-27,CSCO,HOLD
2025-04-27,ABT,HOLD
2025-04-27,AAPL,HOLD
2025-04-27,MSFT,HOLD
2025-04-27,AMZN,HOLD
2025-04-27,META,HOLD
2025-04-27,GOOGL,HOLD
2025-04-27,TSLA,BUY
2025-04-27,NVDA,HOLD
2025-04-27,JPM,HOLD
2025-04-27,BAC,HOLD
2025-04-27,WFC,HOLD
2025-04-27,V,HOLD
2025-04-27,MA,HOLD
2025-04-27,UNH,BUY
2025-04-27,PFE,HOLD
2025-04-27,MRK,HOLD
2025-04-27,XOM,HOLD
2025-04-27,CVX,HOLD
2025-04-27,COP,HOLD
2025-04-27,HD,HOLD
2025-04-27,COST,HOLD
2025-04-27,DIS,HOLD
2025-04-27,NFLX,HOLD
2025-04-27,MCD,HOLD
2025-04-27,KO,HOLD
2025-04-27,PEP,HOLD
2025-04-27,NKE,HOLD
2025-04-27,ORCL,HOLD
2025-04-27,INTC,BUY
2025-04-27,CSCO,HOLD
2025-04-27,ABT,HOLD
2025-04-27,AAPL,UNKNOWN
2025-04-27,MSFT,UNKNOWN
2025-04-27,AMZN,UNKNOWN
2025-04-27,META,UNKNOWN
2025-04-27,GOOGL,UNKNOWN
2025-04-27,TSLA,UNKNOWN
2025-04-27,NVDA,UNKNOWN
2025-04-27,JPM,UNKNOWN
2025-04-27,BAC,UNKNOWN
2025-04-27,WFC,UNKNOWN
2025-04-27,V,UNKNOWN
2025-04-27,MA,UNKNOWN
2025-04-27,UNH,UNKNOWN
2025-04-27,PFE,UNKNOWN
2025-04-27,MRK,UNKNOWN
2025-04-27,XOM,UNKNOWN
2025-04-27,CVX,UNKNOWN
2025-04-27,COP,UNKNOWN
2025-04-27,HD,UNKNOWN
2025-04-27,COST,UNKNOWN
2025-04-27,DIS,UNKNOWN
2025-04-27,NFLX,UNKNOWN
2025-04-27,MCD,UNKNOWN
2025-04-27,KO,UNKNOWN
2025-04-27,PEP,UNKNOWN
2025-04-27,NKE,UNKNOWN
2025-04-27,ORCL,UNKNOWN
2025-04-27,INTC,UNKNOWN
2025-04-27,CSCO,UNKNOWN
2025-04-27,ABT,UNKNOWN
2025-04-27,AAPL,HOLD,43.1%,0%
2025-04-27,MSFT,HOLD,42.7%,0%
2025-04-27,AMZN,HOLD,37.3%,0%
2025-04-27,META,HOLD,38.9%,0%
2025-04-27,GOOGL,HOLD,44.0%,0%
2025-04-27,TSLA,BUY,35.9%,0%
2025-04-27,NVDA,HOLD,35.5%,0%
2025-04-27,JPM,HOLD,47.0%,0%
2025-04-27,BAC,HOLD,43.6%,0%
2025-04-27,WFC,HOLD,45.0%,0%
2025-04-27,V,HOLD,46.3%,0%
2025-04-27,MA,HOLD,49.0%,0%
2025-04-27,UNH,BUY,35.9%,0%
2025-04-27,PFE,HOLD,36.7%,0%
2025-04-27,MRK,HOLD,42.6%,0%
2025-04-27,XOM,HOLD,44.4%,0%
2025-04-27,CVX,HOLD,36.8%,0%
2025-04-27,COP,HOLD,39.7%,0%
2025-04-27,HD,HOLD,53.2%,0%
2025-04-27,COST,HOLD,49.0%,0%
2025-04-27,DIS,HOLD,41.5%,0%
2025-04-27,NFLX,HOLD,43.7%,0%
2025-04-27,MCD,HOLD,57.6%,0%
2025-04-27,KO,HOLD,58.9%,0%
2025-04-27,PEP,HOLD,35.1%,0%
2025-04-27,NKE,HOLD,42.0%,0%
2025-04-27,ORCL,HOLD,36.3%,0%
2025-04-27,INTC,BUY,39.5%,0%
2025-04-27,CSCO,HOLD,53.9%,0%
2025-04-27,ABT,HOLD,55.9%,0%
2025-04-27,AAPL,HOLD,43.0%,0%
2025-04-27,MSFT,HOLD,42.8%,0%
2025-04-27,AMZN,HOLD,37.2%,0%
2025-04-27,META,HOLD,38.9%,0%
2025-04-27,GOOGL,HOLD,44.1%,0%
2025-04-27,TSLA,BUY,35.8%,0%
2025-04-27,NVDA,HOLD,35.3%,0%
2025-04-27,JPM,HOLD,47.0%,0%
2025-04-27,BAC,HOLD,43.6%,0%
2025-04-27,WFC,HOLD,45.0%,0%
2025-04-27,V,HOLD,46.4%,0%
2025-04-27,MA,HOLD,49.1%,0%
2025-04-27,UNH,BUY,35.8%,0%
2025-04-27,PFE,HOLD,36.6%,0%
2025-04-27,MRK,HOLD,42.5%,0%
2025-04-27,XOM,HOLD,44.3%,0%
2025-04-27,CVX,HOLD,36.8%,0%
2025-04-27,COP,HOLD,39.7%,0%
2025-04-27,HD,HOLD,53.1%,0%
2025-04-27,COST,HOLD,49.0%,0%
2025-04-27,DIS,HOLD,41.4%,0%
2025-04-27,NFLX,HOLD,43.8%,0%
2025-04-27,MCD,HOLD,57.6%,0%
2025-04-27,KO,HOLD,58.9%,0%
2025-04-27,PEP,HOLD,35.2%,0%
2025-04-27,NKE,HOLD,42.0%,0%
2025-04-27,ORCL,HOLD,36.2%,0%
2025-04-27,INTC,BUY,39.5%,0%
2025-04-27,CSCO,HOLD,53.9%,0%
2025-04-27,ABT,HOLD,55.8%,0%
2025-04-27,AAPL,HOLD,43.1%,0%
2025-04-27,MSFT,HOLD,42.4%,0%
2025-04-27,AMZN,HOLD,37.3%,0%
2025-04-27,META,HOLD,38.9%,0%
2025-04-27,GOOGL,HOLD,44.1%,0%
2025-04-27,TSLA,BUY,35.9%,0%
2025-04-27,NVDA,HOLD,35.5%,0%
2025-04-27,JPM,HOLD,47.0%,0%
2025-04-27,BAC,HOLD,43.6%,0%
2025-04-27,WFC,HOLD,45.0%,0%
2025-04-27,V,HOLD,46.3%,0%
2025-04-27,MA,HOLD,49.0%,0%
2025-04-27,UNH,BUY,35.9%,0%
2025-04-27,PFE,HOLD,36.7%,0%
2025-04-27,MRK,HOLD,42.6%,0%
2025-04-27,XOM,HOLD,44.4%,0%
2025-04-27,CVX,HOLD,36.9%,0%
2025-04-27,COP,HOLD,39.7%,0%
2025-04-27,HD,HOLD,53.2%,0%
2025-04-27,COST,HOLD,49.0%,0%
2025-04-27,DIS,HOLD,41.5%,0%
2025-04-27,NFLX,HOLD,43.8%,0%
2025-04-27,MCD,HOLD,57.6%,0%
2025-04-27,KO,HOLD,58.9%,0%
2025-04-27,PEP,HOLD,35.1%,0%
2025-04-27,NKE,HOLD,42.0%,0%
2025-04-27,ORCL,HOLD,36.3%,0%
2025-04-27,INTC,BUY,39.5%,0%
2025-04-27,CSCO,HOLD,53.9%,0%
2025-04-27,ABT,HOLD,55.9%,0%
2025-04-27,AAPL,HOLD,43.0%,0%
2025-04-27,MSFT,HOLD,42.3%,0%
2025-04-27,AMZN,HOLD,37.4%,0%
2025-04-27,META,HOLD,38.9%,0%
2025-04-27,GOOGL,HOLD,44.1%,0%
2025-04-27,TSLA,BUY,35.9%,0%
2025-04-27,NVDA,HOLD,35.6%,0%
2025-04-27,JPM,HOLD,46.9%,0%
2025-04-27,BAC,HOLD,43.6%,0%
2025-04-27,WFC,HOLD,44.9%,0%
2025-04-27,V,HOLD,46.3%,0%
2025-04-27,MA,HOLD,48.9%,0%
2025-04-27,UNH,BUY,35.9%,0%
2025-04-27,PFE,HOLD,36.9%,0%
2025-04-27,MRK,HOLD,42.5%,0%
2025-04-27,XOM,HOLD,44.3%,0%
2025-04-27,CVX,HOLD,36.8%,0%
2025-04-27,COP,HOLD,39.7%,0%
2025-04-27,HD,HOLD,53.2%,0%
2025-04-27,COST,HOLD,48.8%,0%
2025-04-27,DIS,HOLD,41.5%,0%
2025-04-27,NFLX,HOLD,43.5%,0%
2025-04-27,MCD,HOLD,57.6%,0%
2025-04-27,KO,HOLD,59.0%,0%
2025-04-27,PEP,HOLD,34.9%,0%
2025-04-27,NKE,HOLD,41.9%,0%
2025-04-27,ORCL,HOLD,36.4%,0%
2025-04-27,INTC,BUY,39.7%,0%
2025-04-27,CSCO,HOLD,54.0%,0%
2025-04-27,ABT,HOLD,56.0%,0%
2025-04-27,AAPL,HOLD,43.0%,0%
2025-04-27,MSFT,HOLD,42.4%,0%
2025-04-27,AMZN,HOLD,37.2%,0%
2025-04-27,META,HOLD,38.9%,0%
2025-04-27,GOOGL,HOLD,44.1%,0%
2025-04-27,TSLA,BUY,35.9%,0%
2025-04-27,NVDA,HOLD,35.3%,0%
2025-04-27,JPM,HOLD,47.0%,0%
2025-04-27,BAC,HOLD,43.6%,0%
2025-04-27,WFC,HOLD,45.0%,0%
2025-04-27,V,HOLD,46.4%,0%
2025-04-27,MA,HOLD,49.1%,0%
2025-04-27,UNH,BUY,35.7%,0%
2025-04-27,PFE,HOLD,36.7%,0%
2025-04-27,MRK,HOLD,42.5%,0%
2025-04-27,XOM,HOLD,44.4%,0%
2025-04-27,CVX,HOLD,36.8%,0%
2025-04-27,COP,HOLD,39.7%,0%
2025-04-27,HD,HOLD,53.2%,0%
2025-04-27,COST,HOLD,49.0%,0%
2025-04-27,DIS,HOLD,41.4%,0%
2025-04-27,NFLX,HOLD,43.8%,0%
2025-04-27,MCD,HOLD,57.6%,0%
2025-04-27,KO,HOLD,58.9%,0%
2025-04-27,PEP,HOLD,35.2%,0%
2025-04-27,NKE,HOLD,42.0%,0%
2025-04-27,ORCL,HOLD,36.2%,0%
2025-04-27,INTC,BUY,39.5%,0%
2025-04-27,CSCO,HOLD,53.9%,0%
2025-04-27,ABT,HOLD,55.9%,0%
